こんにちは。	こんにちは。	Hello.	Note: When は is used as a particle (more on this later), it is pronounced as wa.	[sound:1.mp3]
こんにちは、鈴木。	こんにちは、 鈴木[すずき]。	鈴木: Most common last name in Japan.		[sound:2.mp3]
こんにちは、鈴木さん。	こんにちは、 鈴木[すずき]さん。	さん: shows respect and politeness. Similar to Mr. or Ms. Can also be attached to first names, but usually attached to last names.		[sound:3.mp3]
さようなら。	さようなら。	Farewell. Sayonara. Goodbye (feels final).		[sound:4.mp3]
さようなら、博。	さようなら、 博[ひろし]。	博: One of the most common male first names in Japan.		[sound:5.mp3]
じゃあまた。	じゃあまた。	Bye. See you later.		[sound:6.mp3]
じゃあまた、博ちゃん。	じゃあまた、 博[ひろし]ちゃん。	ちゃん: usually attached to the end of a first name. Directed towards children and sometimes young women to show friendliness and intimacy. Also used between guys and girls to each other who are dating or in relationships. Sometimes used by guys to girls who are just friends.		[sound:7.mp3]
バイバイ！	バイバイ！	Bye. See you later.		[sound:8.mp3]
こんばんは、鈴木さん。	こんばんは、 鈴木[すずき]さん。	Good evening.	Note: When は is used as a particle (more on this later), it is pronounced as wa.	[sound:9.mp3]
おはよう。	おはよう。	Good morning.		[sound:10.mp3]
すみません。	すみません。	I'm sorry. Excuse me.		[sound:11.mp3]
はい。	はい。	Yes (polite).		[sound:12.mp3]
いいえ。	いいえ。	No (polite).		[sound:13.mp3]
ありがとう、鈴木さん。	ありがとう、 鈴木[すずき]さん。	Thank you.		[sound:14.mp3]
ありがとう・・・おやすみ。	ありがとう・・・おやすみ。	おやすみ: Good night.		[sound:15.mp3]
ただいま!!	ただいま!!	I'm home!		[sound:16.mp3]
おかえり！	おかえり！	Welcome home！		[sound:17.mp3]
はじめまして。	はじめまして。	Nice to meet you.		[sound:18.mp3]
よろしくお願いします。	よろしくお 願[ねが]いします。	It was nice meeting you. I look forward to working with you.		[sound:19.mp3]
おはようございます。	おはようございます。	Good morning.	ございます is attached to certain phrases to make them more polite.	[sound:20.mp3]
はい、ありがとうございます。	はい、ありがとうございます。	Thank you.	ございます is attached to certain phrases to make them more polite.	[sound:21.mp3]
ありがとう・・・おやすみなさい。	ありがとう・・・おやすみなさい。	なさい is attached to certain phrases to make them more polite.		[sound:22.mp3]
